Config area,Parameter(s),Current value,Status,Source support,Notes
`config/risk_events.yaml`,`KYC_MANUAL_REVIEW.base_probability`,`0.08`,`Directionally supported calibration`,International Organization of Securities Commissions (2025); Financial Action Task Force (2021),Risk-based AML/CFT review supports escalation beyond straight-through processing.
`config/risk_events.yaml`,`KYC_FAILURE.base_probability`,`0.01`,`Directionally supported calibration`,Financial Action Task Force (2021),Rare but plausible terminal compliance failure.
`config/risk_events.yaml`,`REDEMPTION_HOLD.base_probability`,`0.06`,`Directionally supported calibration`,Franklin Templeton Trust (2025); International Organization of Securities Commissions (2025); Financial Action Task Force (2021),Separate from ordinary redemption timing; represents exceptional review.
`config/risk_events.yaml`,`REDEMPTION_REJECTED.base_probability`,`0.01`,`Directionally supported calibration`,Franklin Templeton Trust (2025); International Organization of Securities Commissions (2025); Financial Action Task Force (2021),Rare terminal redemption denial.
`config/risk_events.yaml`,`SETTLEMENT_FAIL.base_probability`,`0.03`,`Directionally supported calibration`,Depository Trust & Clearing Corporation (2024); U.S. Securities and Exchange Commission (2022),"DTCC and SEC sources support the existence of settlement fails and Rule 204 close-out requirements, but the 3% value is retained as a calibrated proxy rather than as a directly observed thesis-level incident statistic."
`config/risk_events.yaml`,`ACATS_COMPLICATION.base_probability`,`0.05`,`Directionally supported calibration`,Financial Industry Regulatory Authority (2006),FINRA documentation supports the existence of account-transfer delays and complications; 5% is retained as a conservative calibration rather than a published incident rate.
`config/risk_events.yaml`,`CUSTODY_RECONCILIATION_ERROR.base_probability`,`0.02`,`Directionally supported calibration`,Agur et al. (2025); Committee on Payment and Settlement Systems & Technical Committee of the International Organization of Securities Commissions (2012); Bank for International Settlements & Committee on Payments and Market Infrastructures (2024),Captures low but non-zero legacy reconciliation mismatch risk.
`config/risk_events.yaml`,`ATTESTATION_DELAY.base_probability`,`0.05`,`Directionally supported calibration`,International Organization of Securities Commissions (2025); Financial Stability Board (2024); Bank for International Settlements & Committee on Payments and Market Infrastructures (2024),Tokenized products still rely on off-chain reporting and governance dependencies.
`config/risk_events.yaml`,`TRANSFER_BLOCKED.base_probability`,`0.03`,`Directionally supported calibration`,Ondo Finance (n.d.-b); International Organization of Securities Commissions (2025); Financial Action Task Force (2021),Models exceptional transfer denial beyond the structural transfer gate.
`config/risk_events.yaml`,`GOVERNANCE_PAUSE.base_probability`,`0.01`,`Directionally supported calibration`,International Organization of Securities Commissions (2025); Financial Stability Board (2024); Bank for International Settlements & Committee on Payments and Market Infrastructures (2024),Rare smart-contract or platform intervention assumption.
