tag,asset_id,route_id,completion_rate,exit_frozen_rate,time_to_cash_days_p50,total_time_days_p50
REDEMPTION_stress_servers=1,PRIVATE_CREDIT,TOKENIZED,0.97,0.025,101.4622,94.0397
REDEMPTION_stress_servers=1,PRIVATE_CREDIT,TRADFI,0.975,0.03,110.5901,103.4923
REDEMPTION_stress_servers=1,TBILL_MMF,TOKENIZED,0.97,0.025,20.0622,18.6397
REDEMPTION_stress_servers=1,TBILL_MMF,TRADFI,0.975,0.03,28.8901,27.7923
REDEMPTION_stress_servers=2,PRIVATE_CREDIT,TOKENIZED,0.97,0.025,102.051,94.578
REDEMPTION_stress_servers=2,PRIVATE_CREDIT,TRADFI,0.975,0.03,111.2137,103.8308
REDEMPTION_stress_servers=2,TBILL_MMF,TOKENIZED,0.97,0.025,20.651,19.178
REDEMPTION_stress_servers=2,TBILL_MMF,TRADFI,0.975,0.03,29.5137,28.1308
REDEMPTION_stress_servers=4,PRIVATE_CREDIT,TOKENIZED,0.97,0.025,102.0051,94.589
REDEMPTION_stress_servers=4,PRIVATE_CREDIT,TRADFI,0.975,0.03,110.513,103.2964
REDEMPTION_stress_servers=4,TBILL_MMF,TOKENIZED,0.97,0.025,20.6051,19.189
REDEMPTION_stress_servers=4,TBILL_MMF,TRADFI,0.975,0.03,28.813,27.5964
REDEMPTION_stress_servers=8,PRIVATE_CREDIT,TOKENIZED,0.97,0.025,101.6557,94.4011
REDEMPTION_stress_servers=8,PRIVATE_CREDIT,TRADFI,0.975,0.03,110.4132,103.0095
REDEMPTION_stress_servers=8,TBILL_MMF,TOKENIZED,0.97,0.025,20.2557,19.0011
REDEMPTION_stress_servers=8,TBILL_MMF,TRADFI,0.975,0.03,28.7132,27.3095
